Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1992,11,94.0,Y
IDCJAC0001,061078,1992,12,148.8,Y
IDCJAC0001,061078,1993,01,94.2,Y
IDCJAC0001,061078,1993,02,46.8,Y
IDCJAC0001,061078,1993,03,113.0,Y
IDCJAC0001,061078,1993,04,28.6,Y
IDCJAC0001,061078,1993,05,35.0,Y
IDCJAC0001,061078,1993,06,138.2,Y
IDCJAC0001,061078,1993,07,136.6,Y
IDCJAC0001,061078,1993,08,71.6,Y
IDCJAC0001,061078,1993,09,57.6,Y
IDCJAC0001,061078,1993,10,46.0,Y
IDCJAC0001,061078,1993,11,86.4,Y
IDCJAC0001,061078,1993,12,31.4,Y
IDCJAC0001,061078,1994,01,81.2,Y
IDCJAC0001,061078,1994,02,112.4,Y
IDCJAC0001,061078,1994,03,159.8,Y
IDCJAC0001,061078,1994,04,58.8,Y
IDCJAC0001,061078,1994,05,136.2,Y
IDCJAC0001,061078,1994,06,74.0,Y
IDCJAC0001,061078,1994,07,131.2,N
IDCJAC0001,061078,1994,08,66.2,Y
IDCJAC0001,061078,1994,09,32.0,Y
IDCJAC0001,061078,1994,10,35.6,Y
IDCJAC0001,061078,1994,11,61.4,N
IDCJAC0001,061078,1994,12,61.4,Y
IDCJAC0001,061078,1995,01,105.4,Y
IDCJAC0001,061078,1995,02,54.4,Y
IDCJAC0001,061078,1995,03,194.8,Y
